,Image,label,Concrete,Gypsum,Metal,Other,Plastic,Roofing,Wood
0,A (141).jpg%63,Other,0,0,0,1,0,0,0
1,A (141).jpg%64,Other,0,0,0,1,0,0,0
2,A (141).jpg%65,Other,0,0,0,1,0,0,0
3,A (141).jpg%66,Other,0,0,0,1,0,0,0
4,A (141).jpg%74,Other,0,0,0,1,0,0,0
5,A (141).jpg%75,Other,0,0,0,1,0,0,0
6,A (141).jpg%76,Other,0,0,0,1,0,0,0
7,A (141).jpg%77,Other,0,0,0,1,0,0,0
8,A (141).jpg%78,Other,0,0,0,1,0,0,0
9,A (141).jpg%86,Other,0,0,0,1,0,0,0
10,A (141).jpg%87,Other,0,0,0,1,0,0,0
11,A (141).jpg%88,Other,0,0,0,1,0,0,0
12,A (141).jpg%89,Other,0,0,0,1,0,0,0
13,A (141).jpg%96,Wood,0,0,0,0,0,0,1
14,A (141).jpg%97,Wood,0,0,0,0,0,0,1
15,A (141).jpg%98,Wood,0,0,0,0,0,0,1
16,A (141).jpg%99,Wood,0,0,0,0,0,0,1
17,A (243).jpg%26,Plastic,0,0,0,0,1,0,0
18,A (243).jpg%30,Other,0,0,0,1,0,0,0
19,A (243).jpg%31,Other,0,0,0,1,0,0,0
20,A (243).jpg%32,Plastic,0,0,0,0,1,0,0
21,A (243).jpg%33,Plastic,0,0,0,0,1,0,0
22,A (243).jpg%36,Wood,0,0,0,0,0,0,1
23,A (243).jpg%37,Plastic,0,0,0,0,1,0,0
24,A (243).jpg%38,Plastic,0,0,0,0,1,0,0
25,A (243).jpg%39,Plastic,0,0,0,0,1,0,0
26,A (243).jpg%40,Plastic,0,0,0,0,1,0,0
27,A (243).jpg%41,Other,0,0,0,1,0,0,0
28,A (243).jpg%42,Other,0,0,0,1,0,0,0
29,A (243).jpg%43,Plastic,0,0,0,0,1,0,0
30,A (243).jpg%44,Plastic,0,0,0,0,1,0,0
31,A (243).jpg%45,Other,0,0,0,1,0,0,0
32,A (243).jpg%46,Plastic,0,0,0,0,1,0,0
33,A (243).jpg%47,Plastic,0,0,0,0,1,0,0
34,A (243).jpg%48,Wood,0,0,0,0,0,0,1
35,A (243).jpg%49,Plastic,0,0,0,0,1,0,0
36,A (243).jpg%50,Plastic,0,0,0,0,1,0,0
37,A (243).jpg%51,Plastic,0,0,0,0,1,0,0
38,A (243).jpg%52,Plastic,0,0,0,0,1,0,0
39,A (243).jpg%53,Other,0,0,0,1,0,0,0
40,A (243).jpg%54,Other,0,0,0,1,0,0,0
41,A (243).jpg%55,Plastic,0,0,0,0,1,0,0
42,A (243).jpg%56,Other,0,0,0,1,0,0,0
43,A (243).jpg%57,Other,0,0,0,1,0,0,0
44,A (243).jpg%58,Plastic,0,0,0,0,1,0,0
45,A (243).jpg%59,Plastic,0,0,0,0,1,0,0
46,A (243).jpg%60,Plastic,0,0,0,0,1,0,0
47,A (243).jpg%61,Plastic,0,0,0,0,1,0,0
48,A (243).jpg%62,Plastic,0,0,0,0,1,0,0
49,A (243).jpg%63,Plastic,0,0,0,0,1,0,0
50,A (243).jpg%64,Plastic,0,0,0,0,1,0,0
51,A (243).jpg%65,Other,0,0,0,1,0,0,0
52,A (243).jpg%66,Other,0,0,0,1,0,0,0
53,A (243).jpg%67,Plastic,0,0,0,0,1,0,0
54,A (243).jpg%68,Other,0,0,0,1,0,0,0
55,A (243).jpg%69,Other,0,0,0,1,0,0,0
56,A (243).jpg%70,Other,0,0,0,1,0,0,0
57,A (243).jpg%71,Plastic,0,0,0,0,1,0,0
58,A (243).jpg%72,Plastic,0,0,0,0,1,0,0
59,A (243).jpg%73,Plastic,0,0,0,0,1,0,0
60,A (243).jpg%74,Plastic,0,0,0,0,1,0,0
61,A (243).jpg%75,Plastic,0,0,0,0,1,0,0
62,A (243).jpg%76,Plastic,0,0,0,0,1,0,0
63,A (243).jpg%77,Plastic,0,0,0,0,1,0,0
64,A (243).jpg%78,Other,0,0,0,1,0,0,0
65,A (243).jpg%79,Other,0,0,0,1,0,0,0
66,A (243).jpg%80,Other,0,0,0,1,0,0,0
67,A (243).jpg%81,Other,0,0,0,1,0,0,0
68,A (243).jpg%82,Other,0,0,0,1,0,0,0
69,A (243).jpg%83,Plastic,0,0,0,0,1,0,0
70,A (243).jpg%84,Plastic,0,0,0,0,1,0,0
71,A (243).jpg%85,Plastic,0,0,0,0,1,0,0
72,A (243).jpg%86,Plastic,0,0,0,0,1,0,0
73,A (243).jpg%87,Plastic,0,0,0,0,1,0,0
74,A (243).jpg%88,Plastic,0,0,0,0,1,0,0
75,A (243).jpg%89,Plastic,0,0,0,0,1,0,0
76,A (243).jpg%90,Plastic,0,0,0,0,1,0,0
77,A (243).jpg%91,Other,0,0,0,1,0,0,0
78,A (243).jpg%92,Other,0,0,0,1,0,0,0
79,A (243).jpg%93,Other,0,0,0,1,0,0,0
80,A (243).jpg%94,Plastic,0,0,0,0,1,0,0
81,A (243).jpg%95,Plastic,0,0,0,0,1,0,0
